method,parameter,point_biserial_r,p_value,zero_candidate_rate,median_when_zero,median_when_nonzero
pairwise_histogram,ACTIVITY,-0.23668458434094863,2.328164241602585e-127,0.1281,0.3199000060558319,1.257599949836731
pairwise_histogram,DIFFROT,0.01210062360138163,0.22629601193301752,0.1281,0.229200005531311,0.2189999967813492
pairwise_histogram,TSPOT,-0.05858879026820339,4.540765534589726e-09,0.1281,2.72760009765625,3.223200082778931
pairwise_histogram,MINLAT,0.03188556226583288,0.0014278147055357706,0.1281,21.05949974060059,20.14150047302246
pairwise_histogram,MAXLAT,0.01829357154259224,0.06735744380344798,0.1281,55.04230117797852,54.23220062255859
pairwise_histogram,INCL,-0.06014946843696065,1.7479953357071343e-09,0.1281,0.691100001335144,0.7827000021934509
wavelet,ACTIVITY,-0.14902187314203635,9.333652666399812e-51,0.045,0.25884999334812164,1.07669997215271
wavelet,DIFFROT,0.01863218747193221,0.06244150970369825,0.045,0.25164999067783356,0.2195000052452087
wavelet,TSPOT,-0.03958045839258208,7.523198629303831e-05,0.045,2.7063000202178955,3.1693500280380245
wavelet,MINLAT,0.008589175526611804,0.39043650865931456,0.045,21.769749641418457,20.2295503616333
wavelet,MAXLAT,0.011381078226614449,0.25511947860721784,0.045,55.6560001373291,54.262901306152344
wavelet,INCL,-0.049792010505603994,6.303833616018239e-07,0.045,0.6509999930858612,0.7792499959468842
