star_id,method,error
smarts-tess-v1.0-000100,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-001500,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-001500,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-001900,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-002500,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-003100,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-003600,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-005100,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-007500,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-007500,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-007800,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-009200,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-009200,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-010300,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-010600,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-011000,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-011200,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-011400,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-012800,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-014200,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-014500,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-015000,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-015200,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-015400,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-015400,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-017300,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-017400,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-017700,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-019100,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-019100,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-019200,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-019800,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-020500,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-021800,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-022000,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-022800,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-023200,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-023500,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-024700,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-025500,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-025700,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-025800,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-028400,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-028800,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-029500,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-029800,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-030300,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-030300,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
